athlete_id,first_name,last_name,gp,gs,minutes,goals,assists,points,shots,sog,gwg,pk_goals,pk_att,yc,rc,gk_ga,gk_gaa,gk_saves,gk_sv_pct,gk_shutouts
fh_3b2169bdc64c,Nikki,Tridico,13,0,,1,0,2,5,3,0,0,0,,,,,,,
fh_a09b1cb8de42,Aiden,Arrington,2,0,,0,0,0,0,0,0,0,0,,,2,2.67,4,0.667,0
fh_1eb7a904ec7e,Ada,Hendrickson,13,1,,0,0,0,4,4,0,0,0,,,,,,,
fh_f43487211ac5,Maeve,Huit,10,1,,0,0,0,0,0,0,0,0,,,,,,,
fh_e17cc879acfb,Malia,Lockhart,16,14,,0,0,0,0,0,0,0,0,,,,,,,
fh_aaa4475894c1,Iseul,Park,18,18,,0,0,0,0,0,0,0,0,,,40,2.26,114,0.74,5
fh_29f2cc376991,Gemma,Polino,10,0,,0,0,0,0,0,0,0,0,,,,,,,
fh_719534067c9b,Mimi,Siegel,11,4,,0,0,0,0,0,0,0,0,,,,,,,
fh_2e8035557ba0,Ellie,Szostalo,18,18,,0,0,0,6,3,0,0,0,,,,,,,
fh_77a0a64d5a64,Mia,Angwin,19,19,942,7,7,21,29,18,0,0,0,,,,,,,
fh_0cca61366b43,Ella,Costa,19,19,959,5,8,18,25,20,2,0,1,,,,,,,
fh_667fbeff7c95,Colby,Paul,19,16,741,9,0,18,26,19,1,2,3,,,,,,,
fh_6cbf74cfc984,Emma,Houff,19,8,690,6,1,13,24,19,2,2,2,,,,,,,
fh_43f1232f9338,Erin,Ohlenbusch,15,15,785,3,5,11,43,24,1,0,0,,,,,,,
fh_137ca2797f0a,Abby,Ezickson,19,19,942,3,4,10,27,21,1,0,0,,,,,,,
fh_df073b8bc313,Gianna,DiGioacchino,19,19,1136,3,2,8,29,16,1,0,0,,,,,,,
fh_37bb213698a3,Brooke,Golden,19,19,1165,3,2,8,33,19,1,0,0,,,,,,,
fh_ae8061ea51ab,Molly,Van Vranken,19,0,531,3,1,7,23,14,0,0,0,,,,,,,
fh_fb57dca406b5,Anna,D'Amore,18,18,847,0,2,2,7,5,0,0,0,,,,,,,
fh_8ee86a462e87,Auriel,Gonzalez,19,18,983,1,0,2,4,3,0,0,0,,,,,,,
fh_cc959fa0017f,Margaret,Heim,19,0,442,0,1,1,8,6,0,0,0,,,,,,,
fh_17d7daabfb42,Brynn,Charron,19,18,988,0,0,0,2,0,0,0,0,,,,,,,
fh_47d42cf8b3b6,Emma,Coggins,9,0,129,0,0,0,0,0,0,0,0,,,,,,,
fh_915363e75da6,Elena,Cucci,14,0,171,0,0,0,1,0,0,0,0,,,,,,,
fh_d111c864da50,Lily,Mae Dreyfuss,5,0,44,0,0,0,0,0,0,0,0,,,2,2.73,1,0.333,
fh_8641e57d26cb,Rachel,Longbrake,11,0,111,0,0,0,3,2,0,0,0,,,,,,,
fh_173dbf267bf3,Sophie,Martel,1,0,0,0,0,0,0,0,0,0,0,,,,,,,
fh_8c84498ac77d,Allison,Morgan,11,5,257,0,0,0,0,0,0,0,0,,,15,3.39,23,0.605,
fh_79d7f3e83768,Nicole,Sylvestri,16,14,880,0,0,0,0,0,0,0,0,,,22,1.51,82,0.788,
fh_46468a256dac,Bri,Townsend,22,22,1098,12,3,27,93,62,6,0,0,,,,,,,
fh_3a47cc0c9895,Maddie,Niles,22,22,1174,8,4,20,48,38,0,0,0,,,,,,,
fh_3485eb6c1887,HJ,Tuplin,16,10,638,4,4,12,27,17,2,0,0,,,,,,,
fh_2b7aff363170,Mackenzie,Hall,22,19,898,5,0,10,28,21,3,0,0,,,,,,,
fh_bca9dd89aa73,Leah,Thibodeau,22,22,971,3,1,7,26,13,0,0,0,,,,,,,
fh_d82ed28d9981,Dylan,Barr,22,22,918,1,3,5,28,21,0,0,0,,,,,,,
fh_ac222174603c,Jaigan,Boudreau,18,18,917,2,1,5,8,6,1,2,3,,,,,,,
fh_bf7c07b0e01a,Addison,Hawthorne,15,1,234,2,0,4,8,5,0,0,0,,,,,,,
fh_1cbe2b7e4ab1,Taylor,Leclerc,18,14,771,1,2,4,8,4,0,0,0,,,,,,,
fh_534d7f7dc107,Julia,Elie,22,22,1165,1,0,2,5,3,0,0,0,,,,,,,
fh_d43fc785e67d,Danica,Hebert,21,1,444,1,0,2,4,3,0,0,0,,,,,,,
fh_10ec76b3f62a,Ivory,Spaulding,19,0,297,1,0,2,4,2,0,0,0,,,,,,,
fh_84f1dbf36795,Olivia,Staggs,22,21,939,0,1,1,0,0,0,0,0,,,,,,,
fh_348fdbb44c8e,Sunny,Bache,2,0,30,0,0,0,0,0,0,0,0,,,1,2.0,1,0.5,0
fh_df2260b83091,Eleanor,Folsom,22,22,1244,0,0,0,0,0,0,0,0,,,36,1.74,146,0.802,3
fh_58a7569b15c4,Jayla,Gentry,21,14,947,0,0,0,1,0,0,0,0,,,,,,,
fh_36b108b10e6a,Ava,Gerrity,20,1,422,0,0,0,0,0,0,0,0,,,,,,,
fh_3b6c844c836e,Annie,Jackson,16,1,191,0,0,0,0,0,0,0,0,,,,,,,
fh_e2228983709f,Kaya,Joseph,1,1,41,0,0,0,0,0,0,0,0,,,,,,,
fh_e90170c46e32,Allison,Marines,5,0,75,0,0,0,0,0,0,0,0,,,1,0.75,4,0.8,0
fh_aae333c40d5c,Kasey,Mushlit,16,2,259,0,0,0,3,2,0,0,0,,,,,,,
fh_2654332143e3,Bella,Pierce,14,0,319,0,0,0,1,1,0,0,0,,,,,,,
fh_409879a70615,Eliza,Rogers,22,7,691,0,0,0,9,6,0,0,0,,,,,,,
fh_4c25df3a5dae,Carlee,Thompson,20,20,,12,8,32,60,40,4,1,2,,,,,,,
fh_8c33fe993a18,Kirsten,Bailey,20,20,,9,8,26,90,55,1,2,4,,,,,,,
fh_8cd587f86d91,Brooke,Ruiz,17,9,,9,3,21,39,28,2,0,0,,,,,,,
fh_25a2cbe1f7e0,Riley,DeMarco,18,18,,8,4,20,47,31,0,0,0,,,,,,,
fh_bfc6b3347093,Jessica,Bruther,20,20,,6,3,15,40,28,2,0,0,,,,,,,
fh_0c5f0e2d9520,Makayla,Alessi,20,20,,5,1,11,15,8,1,0,0,,,,,,,
fh_baaf6e85af6f,Maura,Somers,20,20,,2,4,8,27,15,0,0,0,,,,,,,
fh_af1c2b6321ac,Olivia,Catalano,19,0,,2,1,5,13,6,0,0,0,,,,,,,
fh_2792fd6a91a5,Leah,Bruchansky,10,0,,2,0,4,3,3,0,0,0,,,,,,,
fh_7731913e5148,Mia,Collins,16,9,,2,0,4,13,8,0,0,0,,,,,,,
fh_a1aae4bc6605,Kylee,Donegan,19,2,,1,1,3,3,3,0,0,0,,,,,,,
fh_22fe4a554675,Meghan,Phillips,20,3,,0,2,2,12,4,0,0,0,,,,,,,
fh_df0113051747,EB,Rafferty,20,20,,1,0,2,5,2,1,0,0,,,,,,,
fh_9b0cac1d0450,Miana,Alessandroni,20,18,,0,1,1,5,3,0,0,0,,,,,,,
fh_46e6e49f9224,Rylie,Doster-Zearfoss,7,0,,0,1,1,1,1,0,0,0,,,,,,,
