school,sport,gender,division,conference,athletes,intl
Alabama A&M,golf,Men,D1,Southwestern Athletic Conference,6,2
Alabama A&M,soccer,Women,D1,Southwestern Athletic Conference,32,5
Alabama A&M,softball,Women,D1,Southwestern Athletic Conference,23,1
Alabama A&M,tennis,Men,D1,Southwestern Athletic Conference,8,6
Alabama A&M,tennis,Women,D1,Southwestern Athletic Conference,9,3
Alabama A&M,track_indoor,Men,D1,Southwestern Athletic Conference,29,2
Alabama A&M,track_indoor,Women,D1,Southwestern Athletic Conference,23,6
Alabama A&M,track_outdoor,Men,D1,Southwestern Athletic Conference,29,2
Alabama A&M,track_outdoor,Women,D1,Southwestern Athletic Conference,23,6
Alabama A&M,volleyball,Women,D1,Southwestern Athletic Conference,22,4
Alabama Huntsville,baseball,Men,D2,Gulf South Conference,45,2
Alabama Huntsville,basketball,Men,D2,Gulf South Conference,18,0
Alabama Huntsville,basketball,Women,D2,Gulf South Conference,12,0
Alabama Huntsville,cross_country,Men,D2,Gulf South Conference,31,0
Alabama Huntsville,cross_country,Women,D2,Gulf South Conference,16,0
Alabama Huntsville,lacrosse,Men,D2,Gulf South Conference,60,2
Alabama Huntsville,lacrosse,Women,D2,Gulf South Conference,31,0
Alabama Huntsville,soccer,Men,D2,Gulf South Conference,31,14
Alabama Huntsville,soccer,Women,D2,Gulf South Conference,27,2
Alabama Huntsville,softball,Women,D2,Gulf South Conference,21,0
Alabama Huntsville,track_indoor,Men,D2,Gulf South Conference,66,0
Alabama Huntsville,track_indoor,Women,D2,Gulf South Conference,41,1
Alabama Huntsville,track_outdoor,Men,D2,Gulf South Conference,66,0
Alabama Huntsville,track_outdoor,Women,D2,Gulf South Conference,41,1
Alabama Huntsville,volleyball,Women,D2,Gulf South Conference,18,0
Alabama St.,baseball,Men,D1,Southwestern Athletic Conference,38,2
Alabama St.,basketball,Men,D1,Southwestern Athletic Conference,16,1
Alabama St.,basketball,Women,D1,Southwestern Athletic Conference,16,1
Alabama St.,bowling,Women,D1,Southwestern Athletic Conference,5,0
Alabama St.,cross_country,Men,D1,Southwestern Athletic Conference,6,0
Alabama St.,cross_country,Women,D1,Southwestern Athletic Conference,7,0
Alabama St.,football,Men,D1,Southwestern Athletic Conference,118,2
Alabama St.,golf,Men,D1,Southwestern Athletic Conference,8,6
Alabama St.,golf,Women,D1,Southwestern Athletic Conference,7,4
Alabama St.,soccer,Women,D1,Southwestern Athletic Conference,26,3
Alabama St.,softball,Women,D1,Southwestern Athletic Conference,23,1
Alabama St.,tennis,Men,D1,Southwestern Athletic Conference,8,8
Alabama St.,tennis,Women,D1,Southwestern Athletic Conference,8,8
Alabama St.,track_indoor,Men,D1,Southwestern Athletic Conference,22,0
Alabama St.,track_indoor,Women,D1,Southwestern Athletic Conference,34,0
Alabama St.,track_outdoor,Men,D1,Southwestern Athletic Conference,22,0
Alabama St.,track_outdoor,Women,D1,Southwestern Athletic Conference,34,0
Alabama St.,volleyball,Women,D1,Southwestern Athletic Conference,17,0
Alaska Anchorage,basketball,Men,D2,Great Northwest Athletic Conference,16,1
Alaska Anchorage,basketball,Women,D2,Great Northwest Athletic Conference,15,3
Alaska Anchorage,cross_country,Men,D2,Great Northwest Athletic Conference,19,1
Alaska Anchorage,cross_country,Women,D2,Great Northwest Athletic Conference,13,4
Alaska Anchorage,gymnastics,Women,D1,Great Northwest Athletic Conference,20,6
Alaska Anchorage,ice_hockey,Men,D1,Great Northwest Athletic Conference,31,13
Alaska Anchorage,skiing,Men,D2,Great Northwest Athletic Conference,13,8
Alaska Anchorage,skiing,Women,D2,Great Northwest Athletic Conference,10,7
Alaska Anchorage,track_indoor,Men,D2,Great Northwest Athletic Conference,39,4
Alaska Anchorage,track_indoor,Women,D2,Great Northwest Athletic Conference,23,9
Alaska Anchorage,track_outdoor,Men,D2,Great Northwest Athletic Conference,39,4
Alaska Anchorage,track_outdoor,Women,D2,Great Northwest Athletic Conference,23,9
Alaska Anchorage,volleyball,Women,D2,Great Northwest Athletic Conference,17,3
Alaska Fairbanks,basketball,Men,D2,Great Northwest Athletic Conference,14,0
Alaska Fairbanks,basketball,Women,D2,Great Northwest Athletic Conference,17,2
Alaska Fairbanks,cross_country,Men,D2,Great Northwest Athletic Conference,18,0
Alaska Fairbanks,cross_country,Women,D2,Great Northwest Athletic Conference,19,1
Alaska Fairbanks,ice_hockey,Men,D1,Great Northwest Athletic Conference,30,16
Alaska Fairbanks,skiing,Men,D2,Great Northwest Athletic Conference,9,4
Alaska Fairbanks,skiing,Women,D2,Great Northwest Athletic Conference,9,5
Alaska Fairbanks,swimming,Women,D2,Great Northwest Athletic Conference,16,5
Alaska Fairbanks,volleyball,Women,D2,Great Northwest Athletic Conference,17,1
Albany State,baseball,Men,D2,Southern Intercollegiate Athletic Conference,32,0
Albany State,basketball,Men,D2,Southern Intercollegiate Athletic Conference,15,1
Albany State,basketball,Women,D2,Southern Intercollegiate Athletic Conference,14,1
Albany State,cross_country,Women,D2,Southern Intercollegiate Athletic Conference,10,0
Albany State,football,Men,D2,Southern Intercollegiate Athletic Conference,92,0
Albany State,softball,Women,D2,Southern Intercollegiate Athletic Conference,21,1
Albany State,tennis,Women,D2,Southern Intercollegiate Athletic Conference,6,1
Albany State,track_indoor,Men,D2,Southern Intercollegiate Athletic Conference,23,3
Albany State,track_indoor,Women,D2,Southern Intercollegiate Athletic Conference,27,2
Albany State,track_outdoor,Men,D2,Southern Intercollegiate Athletic Conference,23,3
Albany State,track_outdoor,Women,D2,Southern Intercollegiate Athletic Conference,27,2
Albany State,volleyball,Women,D2,Southern Intercollegiate Athletic Conference,16,0
Albertus Magnus,baseball,Men,D3,Great Northeast Athletic Conference,45,1
Albertus Magnus,basketball,Men,D3,Great Northeast Athletic Conference,19,0
Albertus Magnus,basketball,Women,D3,Great Northeast Athletic Conference,13,0
Albertus Magnus,field_hockey,Women,D3,Great Northeast Athletic Conference,11,0
Albertus Magnus,golf,Men,D3,Great Northeast Athletic Conference,16,5
Albertus Magnus,golf,Women,D3,Northeast Women's Golf Conference,8,1
Albertus Magnus,ice_hockey,Men,D3,United Collegiate Hockey Conference (Men),30,0
Albertus Magnus,ice_hockey,Women,D3,United Collegiate Hockey Conference (Women),31,4
Albertus Magnus,soccer,Men,D3,Great Northeast Athletic Conference,34,0
Albertus Magnus,soccer,Women,D3,Great Northeast Athletic Conference,28,0
Albertus Magnus,softball,Women,D3,Great Northeast Athletic Conference,22,0
Albertus Magnus,tennis,Men,D3,City University of New York Athletic Conference,9,4
Albertus Magnus,tennis,Women,D3,City University of New York Athletic Conference,8,0
Albertus Magnus,volleyball,Women,D3,Great Northeast Athletic Conference,21,2
Albion,baseball,Men,D3,Michigan Intercollegiate Athletic Association,47,1
Albion,basketball,Men,D3,Michigan Intercollegiate Athletic Association,19,0
Albion,basketball,Women,D3,Michigan Intercollegiate Athletic Association,13,0
Albion,cross_country,Men,D3,Michigan Intercollegiate Athletic Association,12,0
Albion,cross_country,Women,D3,Michigan Intercollegiate Athletic Association,9,0
Albion,football,Men,D3,Michigan Intercollegiate Athletic Association,113,0
Albion,golf,Men,D3,Michigan Intercollegiate Athletic Association,15,1
Albion,golf,Women,D3,Michigan Intercollegiate Athletic Association,10,0
Albion,lacrosse,Men,D3,Michigan Intercollegiate Athletic Association,33,0
Albion,lacrosse,Women,D3,Michigan Intercollegiate Athletic Association,14,0
Albion,soccer,Men,D3,Michigan Intercollegiate Athletic Association,29,11
Albion,soccer,Women,D3,Michigan Intercollegiate Athletic Association,34,0
Albion,softball,Women,D3,Michigan Intercollegiate Athletic Association,17,0
Albion,swimming,Men,D3,Michigan Intercollegiate Athletic Association,12,0
Albion,swimming,Women,D3,Michigan Intercollegiate Athletic Association,15,0
Albion,tennis,Men,D3,Michigan Intercollegiate Athletic Association,12,0
Albion,tennis,Women,D3,Michigan Intercollegiate Athletic Association,11,0
Albion,track_indoor,Men,D3,Michigan Intercollegiate Athletic Association,39,1
Albion,track_indoor,Women,D3,Michigan Intercollegiate Athletic Association,35,0
Albion,track_outdoor,Men,D3,Michigan Intercollegiate Athletic Association,39,1
Albion,track_outdoor,Women,D3,Michigan Intercollegiate Athletic Association,35,0
Albion,volleyball,Women,D3,Michigan Intercollegiate Athletic Association,25,0
Albion,wrestling,Men,D3,Michigan Intercollegiate Athletic Association,23,0
Albion,wrestling,Women,D3,Michigan Intercollegiate Athletic Association,12,0
Albright,baseball,Men,D3,Middle Atlantic Conference Commonwealth,65,2
Albright,basketball,Men,D3,Middle Atlantic Conference Commonwealth,17,0
Albright,basketball,Women,D3,Middle Atlantic Conference Commonwealth,14,0
Albright,cross_country,Men,D3,Middle Atlantic Conference Commonwealth,8,0
Albright,cross_country,Women,D3,Middle Atlantic Conference Commonwealth,7,0
Albright,field_hockey,Women,D3,Middle Atlantic Conference Commonwealth,16,2
Albright,football,Men,D3,Middle Atlantic Conference Commonwealth,108,1
Albright,golf,Men,D3,Middle Atlantic Conference Commonwealth,13,5
Albright,golf,Women,D3,Middle Atlantic Conference Commonwealth,7,1
Albright,lacrosse,Men,D3,Middle Atlantic Conference Commonwealth,19,0
Albright,lacrosse,Women,D3,Middle Atlantic Conference Commonwealth,17,1
Albright,soccer,Men,D3,Middle Atlantic Conference Commonwealth,29,4
Albright,soccer,Women,D3,Middle Atlantic Conference Commonwealth,29,0
Albright,softball,Women,D3,Middle Atlantic Conference Commonwealth,22,0
Albright,stunt,Women,D3,Middle Atlantic Conferences,12,0
Albright,tennis,Men,D3,Middle Atlantic Conference Commonwealth,12,7
Albright,tennis,Women,D3,Middle Atlantic Conference Commonwealth,8,2
Albright,track_indoor,Men,D3,Middle Atlantic Conference Commonwealth,21,0
Albright,track_indoor,Women,D3,Middle Atlantic Conference Commonwealth,16,0
Albright,track_outdoor,Men,D3,Middle Atlantic Conference Commonwealth,21,0
Albright,track_outdoor,Women,D3,Middle Atlantic Conference Commonwealth,16,0
Albright,volleyball,Women,D3,Middle Atlantic Conference Commonwealth,17,2
Albright,wrestling,Men,D3,Middle Atlantic Conference Commonwealth,24,0
Alcorn,baseball,Men,D1,Southwestern Athletic Conference,34,2
Alcorn,basketball,Men,D1,Southwestern Athletic Conference,11,6
Alcorn,basketball,Women,D1,Southwestern Athletic Conference,15,1
Alcorn,cross_country,Men,D1,Southwestern Athletic Conference,6,1
