athlete_id,first_name,last_name,mp,sets,kills,errors,ta,pct,assists,digs,aces,serve_errors,block_solos,block_assists,blocks,recv_errors,points
vb_dcd52a3c7b1e,Waverly,Cullison,3,5,6,1,9,0.556,0,5,1,3,0,0,0.0,1,7.0
vb_89ddb02f70d7,Emma,Ewart,21,70,139,79,470,0.128,7,181,13,11,1,11,12.0,27,158.5
vb_0c6f9506dcd4,Erica,Biner,12,14,8,6,28,0.071,2,9,0,3,1,2,3.0,0,10.0
vb_492a3af4c9f6,Maggie,Barnes,22,74,154,71,451,0.184,5,41,0,0,2,17,19.0,0,164.5
vb_7872e385e1d6,Scarlett,Jago,23,82,3,4,47,-0.021,92,373,6,14,0,0,0.0,29,9.0
vb_e0181184f295,Annette,Schlunk,17,36,52,31,188,0.112,5,84,12,7,0,4,4.0,7,66.0
vb_c9f1afd880ba,Caroline,Howell,22,80,4,1,48,0.063,350,160,14,13,0,0,0.0,1,18.0
vb_4c8787d0f2a7,Maya,Hall,23,84,145,50,360,0.264,12,70,12,19,9,39,48.0,0,185.5
vb_c356352b19d4,Maya,Pace,10,14,2,0,5,0.4,36,14,1,5,0,3,3.0,0,4.5
vb_90cc4310652f,Sarai,Davis,13,28,18,9,55,0.164,2,25,7,4,1,1,2.0,7,26.5
vb_2d117f68c4b0,Chloe,Gentile,23,77,95,32,283,0.223,8,35,6,4,13,40,53.0,1,134.0
vb_d9bb0ea677ac,Grace,Soltis,6,11,3,3,15,0.0,1,1,0,0,1,3,4.0,0,5.5
vb_803bad814d27,Amy,Boller,12,29,46,33,153,0.085,4,52,2,3,2,12,14.0,9,56.0
vb_49cd41d1550b,Tallulah,Glancy,2,2,0,3,5,-0.6,0,0,0,0,0,0,0.0,0,0.0
vb_b8c8aefe7c6b,Sarah,Jeremias,23,63,101,59,368,0.114,12,193,16,13,3,5,8.0,17,122.5
vb_78c33b817040,Madeleine,Aldecoa,2,3,4,0,7,0.571,0,1,0,0,0,0,0.0,0,4.0
vb_94b662d3648c,Bella,Nash,21,63,1,0,16,0.063,24,153,9,17,0,0,0.0,14,10.0
vb_22a584c3e886,Ellie,Gordon,22,79,266,111,697,0.222,7,51,0,2,7,31,38.0,0,288.5
vb_442f384790a2,Catalina,Hendricks,23,84,30,5,84,0.298,436,161,27,45,0,0,0.0,0,57.0
vb_d7ab364776da,Halle,Albers,19,67,1,0,7,0.143,8,104,18,11,0,0,0.0,9,19.0
vb_1f414fbdded4,Maggie,Shadle,11,28,1,1,8,0.0,4,67,1,1,0,0,0.0,7,2.0
vb_32743bceb192,Meredith,Hart,19,58,2,0,16,0.125,7,128,2,2,0,0,0.0,18,4.0
vb_ab9cdfafa996,Morgan,O'Brien,30,118,251,105,669,0.218,331,203,14,16,1,45,46.0,0,288.5
vb_53462422f0c2,Angie,Nardone,30,110,31,7,109,0.22,534,224,20,19,0,1,1.0,1,51.5
vb_f6e714e19526,Kylie,Anthony,26,97,149,71,475,0.164,18,289,24,21,4,9,13.0,25,181.5
vb_6b6305efe9fd,Liv,Trent,26,96,226,107,795,0.15,13,302,22,18,7,24,31.0,22,267.0
vb_985f16eb92d6,Rachel,LaSalvia,31,105,221,105,798,0.145,13,143,15,17,3,17,20.0,33,247.5
vb_c8f816030d92,Zoie,Reid,3,7,8,11,36,-0.083,3,19,0,1,0,1,1.0,3,8.5
vb_ce068f976823,Lexi,Markun,2,2,0,0,1,0.0,1,0,0,0,0,1,1.0,0,0.5
vb_07d9dd9ead59,Shelby,Rambo,27,99,189,72,472,0.248,11,45,0,1,19,57,76.0,0,236.5
