athlete_id,first_name,last_name,major,previous_school,height_raw,height_in,weight_raw,weight_lbs,sport,athletic_year,season,division,gender,conference,school,position_raw,position_group,class_year_raw,class_standing,hometown_raw,hometown_city,hometown_state,origin,high_school,high_school_is_academy,source_url
wp_a539237f0e17,Brigid,Carmody,,,,,,,water_polo,2025-26,2025,D2,Women,Pennsylvania State Athletic Conference,Gannon,UTIL,Other,So.,So,"Lansdale, Pa.",Lansdale,PA,domestic,North Penn,0,https://gannonsports.com/sports/womens-water-polo/roster/2026
wp_5a29914e042f,Delaney,Chrysle,,,,,,,water_polo,2025-26,2025,D2,Women,Pennsylvania State Athletic Conference,Gannon,2MD,Other,Jr.,Jr,"Banning, Calif.",Banning,CA,domestic,Beaumont,0,https://gannonsports.com/sports/womens-water-polo/roster/2026
wp_f8facb844407,Emma,O'Gorman,,,,,,,water_polo,2025-26,2025,D2,Women,Pennsylvania State Athletic Conference,Gannon,C,Center,Jr.,Jr,"Johannesburg, South Africa",Johannesburg,,international,St Stithians College,0,https://gannonsports.com/sports/womens-water-polo/roster/2026
wp_5b803fbd58da,Kerstyn,Farley,Pre-Vet,,,,,,water_polo,2025-26,2025,D2,Women,Pennsylvania State Athletic Conference,Gannon,C,Center,Sr.,Sr,"Orlando, Fla.",Orlando,FL,domestic,Lake Nona,0,https://gannonsports.com/sports/womens-water-polo/roster/2026
wp_eb557558a29b,Ana,Carrera,,,,,,,water_polo,2025-26,2025,D2,Women,Pennsylvania State Athletic Conference,Gannon,UTIL,Other,Jr.,Jr,"Orlando, Fla.",Orlando,FL,domestic,Lake Nona,0,https://gannonsports.com/sports/womens-water-polo/roster/2026
wp_a816e5c83aab,Phoebe,Puacz,Communication Sciences and Disorders,,,,,,water_polo,2025-26,2025,D2,Women,Pennsylvania State Athletic Conference,Gannon,C,Center,Fr.,Fr,"Naperville, IL",Naperville,IL,domestic,Neuqua Valley,0,https://gannonsports.com/sports/womens-water-polo/roster/2026
wp_833faa1ddf98,Emily,Feenstra,Nursing,,,,,,water_polo,2025-26,2025,D2,Women,Pennsylvania State Athletic Conference,Gannon,UTIL,Other,Fr.,Fr,"Hudsonville, Mich.",Hudsonville,MI,domestic,Hudsonville,0,https://gannonsports.com/sports/womens-water-polo/roster/2026
wp_5dfd4f4cc175,Claudia,Orte Blanch,,,,,,,water_polo,2025-26,2025,D2,Women,Pennsylvania State Athletic Conference,Gannon,ATK,Other,So.,So,"Madrid, Spain",Madrid,,international,IES Profesor Maximo Trueba,0,https://gannonsports.com/sports/womens-water-polo/roster/2026
wp_ff4e8d3930c6,Jillian,Heinrich,,,,,,,water_polo,2025-26,2025,D2,Women,Pennsylvania State Athletic Conference,Gannon,UTIL,Other,Jr.,Jr,"Erie, Pa.",Erie,PA,domestic,Cathedral Prep,1,https://gannonsports.com/sports/womens-water-polo/roster/2026
wp_bb011c6567f5,Carissa,Jones,,,,,,,water_polo,2025-26,2025,D2,Women,Pennsylvania State Athletic Conference,Gannon,UTIL,Other,So.,So,"Allison Park, Pa.",Allison Park,PA,domestic,North Allegheny,0,https://gannonsports.com/sports/womens-water-polo/roster/2026
wp_8356a5e0c83b,Molly,Fehr,Pre-Medicine,,,,,,water_polo,2025-26,2025,D2,Women,Pennsylvania State Athletic Conference,Gannon,2MD,Other,Sr.,Sr,"Erie, Pa.",Erie,PA,domestic,Villa Maria,0,https://gannonsports.com/sports/womens-water-polo/roster/2026
wp_2939d267876a,Abbey,Murphy,Biology,,,,,,water_polo,2025-26,2025,D2,Women,Pennsylvania State Athletic Conference,Gannon,UTIL,Other,Fr.,Fr,"Colmar, Pa.",Colmar,PA,domestic,North Penn,0,https://gannonsports.com/sports/womens-water-polo/roster/2026
wp_65060b60f9ca,Maria,Martinez,"Advertising Communication, Marketing, and Nutrition and Human Performance",,,,,,water_polo,2025-26,2025,D2,Women,Pennsylvania State Athletic Conference,Gannon,ATK,Other,Fr.,Fr,"Barcelona, Spain",Barcelona,,international,Jesuïtes Gràcia Col·legi Kostka,0,https://gannonsports.com/sports/womens-water-polo/roster/2026
wp_a3851d30f2d4,Elizabeth,Zurawski,Elementary Education,Alamo Area Water Polo,5-3,63.0,,,water_polo,2025-26,2025,D2,Women,Great Lakes Valley Conference,McKendree,Goalkeeper,Goalkeeper,So.,So,"San Antonio, TX",San Antonio,TX,domestic,William J. Brennan High School,0,https://mckbearcats.com/sports/womens-water-polo/roster/2026
wp_141a466ea356,Daisy,Wetherholt,Biology,South Coast Aquatics,5-8,68.0,,,water_polo,2025-26,2025,D2,Women,Great Lakes Valley Conference,McKendree,Goalkeeper,Goalkeeper,Fr.,Fr,"Malibu, CA",Malibu,CA,domestic,Westlake High School,0,https://mckbearcats.com/sports/womens-water-polo/roster/2026
wp_3c1ae7f70637,Delaney,Judkins,Kinesiology,LYONS Aquatics,5-6,66.0,,,water_polo,2025-26,2025,D2,Women,Great Lakes Valley Conference,McKendree,Goalkeeper,Goalkeeper,Fr.,Fr,"La Grange, IL",La Grange,IL,domestic,Lyons Township High School,0,https://mckbearcats.com/sports/womens-water-polo/roster/2026
wp_3d527af7254c,Emma,Dore,Biopsychology,Foothill Club Water Polo,5-1,61.0,,,water_polo,2025-26,2025,D2,Women,Great Lakes Valley Conference,McKendree,Attacker,Attacker,Jr.,Jr,"Pomona, CA",Pomona,CA,domestic,Bonita High School,0,https://mckbearcats.com/sports/womens-water-polo/roster/2026
wp_1842efe3f5c9,Sarah,Velazco,Biology,Raider Water Polo,5-6,66.0,,,water_polo,2025-26,2025,D2,Women,Great Lakes Valley Conference,McKendree,Center,Center,Jr.,Jr,"Miami, FL",Miami,FL,domestic,Ransom Everglades High School,0,https://mckbearcats.com/sports/womens-water-polo/roster/2026
wp_72151acfde4b,Shanelle,Márquez,Psychology,St. Louis Area Polo / St. Louis Lions,5-1,61.0,,,water_polo,2025-26,2025,D2,Women,Great Lakes Valley Conference,McKendree,Attacker,Attacker,Jr.,Jr,"Madrid, Spain",Madrid,,international,Gateway Legacy Christian,0,https://mckbearcats.com/sports/womens-water-polo/roster/2026
wp_d216515739e7,Jazmine,Sandoval,Athletic Training,Los Alamitos Aquatics Foundation,5-2,62.0,,,water_polo,2025-26,2025,D2,Women,Great Lakes Valley Conference,McKendree,Attacker,Attacker,Sr.,Sr,"Westminster, CA",Westminster,CA,domestic,Los Alamitos High School,0,https://mckbearcats.com/sports/womens-water-polo/roster/2026
wp_42a14e51846a,Dylan,Murphy,"Biopsychology, W/ Sports Psychology minor",San Diego Shores Water Polo Club,5-5,65.0,,,water_polo,2025-26,2025,D2,Women,Great Lakes Valley Conference,McKendree,Attacker,Attacker,Sr.,Sr,"Carlsbad, CA",Carlsbad,CA,domestic,San Marcos High School,0,https://mckbearcats.com/sports/womens-water-polo/roster/2026
wp_8838d314d88f,Maisie,Mattocks,Sports Medicine,Norco Water Polo,5-5,65.0,,,water_polo,2025-26,2025,D2,Women,Great Lakes Valley Conference,McKendree,Attacker,Attacker,So.,So,"Shutesbury, MA",Shutesbury,MA,domestic,The Williston Northampton School,0,https://mckbearcats.com/sports/womens-water-polo/roster/2026
wp_6e7c568a9c93,Morgan,Clark,Elementary Education,St. Louis Area Polo,5-11,71.0,,,water_polo,2025-26,2025,D2,Women,Great Lakes Valley Conference,McKendree,Center Defender,Center,Fr.,Fr,"Eureka, MO",Eureka,MO,domestic,Eureka High School,0,https://mckbearcats.com/sports/womens-water-polo/roster/2026
wp_7957396ac0bc,Ryenne,Ayers,Exercise Science,North Idaho Water Polo,5-9,69.0,,,water_polo,2025-26,2025,D2,Women,Great Lakes Valley Conference,McKendree,Center Defender,Center,Jr.,Jr,"Coeur d‘Alene, ID",Coeur d‘Alene,ID,domestic,Alene High School,0,https://mckbearcats.com/sports/womens-water-polo/roster/2026
wp_5bc39e014f27,Abigail,Smith,Criminal Justice,Southside Water Polo Club,5-7,67.0,,,water_polo,2025-26,2025,D2,Women,Great Lakes Valley Conference,McKendree,Center Defender,Center,Jr.,Jr,"Pearland, TX",Pearland,TX,domestic,Glenda Dawson High School,0,https://mckbearcats.com/sports/womens-water-polo/roster/2026
