athlete_id,first_name,last_name,gp,gs,ab,r,h,doubles,triples,hr,rbi,tb,bb,so,sb,sb_att,avg,ip,era,w,l,sv,k,app
bb_87aecd3f4723,Tyler,Phillips,23,17,55,6,14,4,0,1,7,21,3,11,0,1,0.255,,,,,,,
bb_0d5823ef53a7,Boone,Shevey,29,20,63,14,16,2,0,0,7,18,12,30,0,0,0.254,,,,,,,
bb_19398dc324f9,Julius,Scearce,26,6,48,6,12,2,0,1,5,17,3,12,0,0,0.25,,,,,,,
bb_2085595086e1,Silas,Shaffer,34,30,106,21,26,4,0,2,18,36,15,21,4,4,0.245,,,,,,,
bb_07561bcf54cb,Carson,Bittner,10,8,27,2,6,1,1,0,5,9,3,5,0,0,0.222,,,,,,,
bb_805c73fd0cfb,Jackson,Reid,31,21,73,9,15,3,0,1,9,21,7,26,4,4,0.205,,,,,,,
bb_84083ad40c4d,Ryan,Johnson,25,4,21,4,4,0,0,1,2,7,7,4,1,1,0.19,,,,,,,
bb_58e8eed70426,Gunnar,Bingham,25,8,40,8,7,2,1,1,6,14,6,10,2,2,0.175,,,,,,,
bb_33b3dd7257a6,Jacob,Price,,,,,,,,,,,,,,,,85.2,4.83,6,3,0,67,
bb_bf759dd1ed7f,Brock,Blanton,,,,,,,,,,,,,,,,15.1,4.7,0,0,0,13,
bb_4887eac0e424,Griffin,Howell,,,,,,,,,,,,,,,,31.2,4.83,1,3,3,26,
bb_8e0564b6dc0c,Clay,Cartledge,,,,,,,,,,,,,,,,26.2,5.74,1,1,0,24,
bb_dcb10f4e1e1d,Hayden,Collins,,,,,,,,,,,,,,,,51.2,5.75,1,4,0,35,
bb_8bdc731ff698,Jack,Bell,,,,,,,,,,,,,,,,13.2,5.93,0,1,4,12,
bb_6ae077e56bce,Jack,Briese,,,,,,,,,,,,,,,,32.1,6.96,2,3,0,14,
bb_37738007010d,Gavin,Faulkner,,,,,,,,,,,,,,,,33.1,7.02,2,4,2,44,
bb_3cd9f3126ca2,Bradley,Gagen,,,,,,,,,,,,,,,,32.0,7.88,1,3,0,32,
bb_e8ed920cedb7,Cade,Schneider,,,,,,,,,,,,,,,,20.1,7.97,1,3,0,11,
bb_9315b999d8c2,Carson,van Haaren,,,,,,,,,,,,,,,,39.2,9.53,1,4,0,40,
bb_b133f5ee30d4,Caleb,Freeman,,,,,,,,,,,,,,,,9.1,11.57,1,0,0,7,
bb_b57845d2244d,Chardy,Tierney,,,,,,,,,,,,,,,,12.0,12.75,0,1,0,10,
bb_fabad91e7f4d,Cooper,Pumphrey,,,,,,,,,,,,,,,,12.1,13.14,0,2,0,11,
bb_9381b8ee61b2,Rantz,Payton,,,,,,,,,,,,,,,,6.0,13.5,0,1,0,2,
bb_b5ee74b2b1b2,Jack,Smith,,,,,,,,,,,,,,,,0.2,13.5,0,0,0,1,
bb_f75a6124ea3a,Johnny,Bingham,,,,,,,,,,,,,,,,9.2,15.83,0,0,0,10,
bb_c82ae4496897,Anthony,Scarpino,,,,,,,,,,,,,,,,4.2,17.36,1,0,0,7,
bb_c4d1c67b7bec,Addison,Stockham,,,,,,,,,,,,,,,,20.1,17.7,0,4,0,12,
bb_ad08f4fb4102,Javier,Gorostola,54,54,219,46,81,14,1,13,57,136,22,21,1,1,0.37,,,,,,,
bb_19158fbff43e,Jon,Embury,52,52,220,52,80,13,0,17,60,144,20,40,2,2,0.364,,,,,,,
bb_e7019e2a2f45,Evan,Dempsey,57,57,237,57,79,18,0,10,46,127,26,36,15,17,0.333,88.2,3.15,7,2,0,126,
bb_1049eca99615,Wilfred,Gonzalez,58,58,229,36,74,11,1,2,30,93,31,26,0,0,0.323,,,,,,,
bb_eb7b22b6867f,Jaret,Nelson,57,57,215,39,65,12,0,10,45,107,35,54,14,19,0.302,,,,,,,
bb_ec7056e3bd85,Jeremy,Comer,56,55,219,33,63,4,2,9,33,98,19,61,0,0,0.288,,,,,,,
bb_fbb7eb822fe9,Cayden,Hessemyer,49,48,190,14,52,11,0,1,26,66,14,33,3,5,0.274,,,,,,,
bb_a31f7026a221,Tyler,Herb,23,21,61,12,19,2,1,0,11,23,11,16,1,1,0.311,,,,,,,
bb_ae966cd54063,Nathan,Gagnon,34,24,87,19,23,2,0,3,12,34,10,23,5,6,0.264,,,,,,,
bb_4feabddf2654,Cole,Lasher,39,31,114,13,29,2,0,0,6,31,16,20,2,3,0.254,,,,,,,
bb_7094309e82b5,Drew,Seidel,41,17,58,21,13,4,1,1,4,22,9,25,5,6,0.224,,,,,,,
bb_62996a2b7106,Keaton,Kangas,26,11,44,7,9,2,0,0,2,11,12,21,0,0,0.205,,,,,,,
bb_671d44bc628e,Brandyn,Gonzalez,13,5,23,3,4,2,0,0,1,6,2,7,0,0,0.174,,,,,,,
bb_921638efd812,Merrick,Rapoza,19,12,39,6,5,1,0,0,6,6,8,15,0,0,0.128,,,,,,,
bb_054d18120a5e,Juan,Santos,19,14,55,6,6,0,0,0,1,6,4,23,0,0,0.109,,,,,,,
bb_ce5b0039e128,Sebastian,Lippman,9,5,16,3,1,0,0,1,2,4,4,9,0,0,0.063,40.0,3.38,1,3,2,50,
bb_74c82b27df1e,Hunter,Possehl,,,,,,,,,,,,,,,,67.1,3.21,4,1,0,65,
bb_0248f8267a3c,Chris,Diaz,,,,,,,,,,,,,,,,72.1,3.98,5,2,0,74,
bb_7d615907caee,Hyatt,Richardson,,,,,,,,,,,,,,,,35.0,3.09,4,2,1,34,
bb_dd060f3d8951,Ashton,Pocol,,,,,,,,,,,,,,,,33.1,3.24,3,4,6,50,
bb_5faed28014ce,Mattox,Meeks,,,,,,,,,,,,,,,,21.2,3.32,0,0,0,18,
bb_5e9ce58c0ba3,Preston,Rogers,,,,,,,,,,,,,,,,41.1,3.92,6,3,1,44,
bb_e132519d31d0,Ryan,Rushing,,,,,,,,,,,,,,,,18.2,4.34,3,1,0,24,
bb_5eb8a9e06605,Jordan,Vera,,,,,,,,,,,,,,,,9.0,5.0,0,1,0,8,
bb_95485abef52e,Elliot,Cadieux Lanoue,,,,,,,,,,,,,,,,19.1,5.59,2,1,2,20,
bb_9ec0dea6a534,Reed,Biemiller,,,,,,,,,,,,,,,,15.1,6.46,0,0,1,9,
bb_aff5abb5421e,Logan,Baisley,,,,,,,,,,,,,,,,10.2,6.75,0,2,0,11,
bb_f6459248a2fb,Logan,Eisenbarth,,,,,,,,,,,,,,,,18.1,6.87,1,0,0,13,
bb_db22f60b0430,Simon,Aluko,,,,,,,,,,,,,,,,8.0,12.38,0,0,1,10,
bb_3df5027098fc,Levent,Eldem,,,,,,,,,,,,,,,,6.0,18.0,0,0,0,11,
bb_aabb198c3e10,Stetson,Callaway,,,,,,,,,,,,,,,,3.0,21.0,0,0,0,6,
bb_8a7ed15ebb43,Jhon,Abreu,,,,,,,,,,,,,,,,1.1,33.75,0,0,0,2,
bb_74e95d6d63dd,Roger,Vergara,55,55,220,47,72,8,0,6,43,98,18,22,8,9,0.327,,,,,,,
bb_f345c44a0df5,Sammy,Mummau,55,55,188,36,52,7,1,1,29,64,25,45,5,7,0.277,,,,,,,
bb_8d3c764d419a,Derek,Bermudez,50,49,187,33,50,9,0,9,51,86,18,33,2,3,0.267,,,,,,,
bb_a5f18025176c,Logan,Baratta,54,54,196,32,50,8,3,4,30,76,27,30,5,8,0.255,,,,,,,
bb_a8eac0514551,Blake,Edmonds,46,35,110,19,28,3,0,0,12,31,21,22,1,1,0.255,,,,,,,
bb_d6a14092ae5a,Sam,Grunberg,50,49,184,26,46,9,1,4,22,69,12,52,2,2,0.25,,,,,,,
bb_c96acf2b8653,Abdriel,Delgado,47,43,153,25,38,7,0,3,23,54,21,37,0,0,0.248,,,,,,,
bb_4c091abd94a1,Cade,Walter,54,54,167,40,35,8,0,7,30,64,37,67,13,17,0.21,,,,,,,
bb_e29a7df3dbaa,Clayton,Hodges,6,2,7,3,3,0,1,0,0,5,1,2,0,0,0.429,,,,,,,
bb_857d27f5817d,Jonah,Shields,14,14,49,11,20,3,0,0,9,23,6,9,7,7,0.408,,,,,,,
bb_e5b800d68d6a,Ayden,Phillips,17,0,3,0,1,1,0,0,0,2,2,1,0,0,0.333,25.0,2.52,3,1,2,23,
bb_5e04d32538b4,Conner,Spelman,36,30,121,17,39,9,1,3,18,59,11,40,0,0,0.322,,,,,,,
bb_56ed18d6e452,Griffin,Pomper,28,16,64,12,14,3,0,0,10,17,3,14,2,3,0.219,,,,,,,
bb_92e04f0418d8,Archer,Ogbourne,40,17,60,12,11,4,1,0,7,17,6,19,3,6,0.183,,,,,,,
bb_5972ff3c1549,Nick,DeLisi,17,12,39,3,6,0,0,1,8,9,5,9,0,0,0.154,,,,,,,
bb_056d2c3c1564,Manuel,Souffrain,19,10,42,5,6,2,0,0,6,8,9,17,1,1,0.143,,,,,,,
bb_790cc7b2764f,Brendan,Holland,,,,,,,,,,,,,,,,73.1,3.8,4,5,0,79,
bb_ab0e051f1026,Alex,Walsh,,,,,,,,,,,,,,,,73.2,3.91,8,3,0,74,
bb_78dc59816f30,JJ,Gardner,,,,,,,,,,,,,,,,1.0,0.0,1,0,0,1,
bb_2a41da1ae72b,Scout,Updike,,,,,,,,,,,,,,,,15.2,2.87,1,0,0,18,
bb_670ef60fc941,Grant,Brooks,,,,,,,,,,,,,,,,18.2,2.89,0,0,0,13,
bb_f96c2d191927,Austin,Williamson,,,,,,,,,,,,,,,,31.1,4.02,1,2,3,25,
bb_e21c7ccc1e11,Dominic,Pieto,,,,,,,,,,,,,,,,33.1,4.05,3,0,7,35,
bb_dd33103bdc62,Kyle,Hopper,,,,,,,,,,,,,,,,22.1,4.43,4,1,1,17,
bb_5edf5b8a4319,Ben,Baker-Livingston,,,,,,,,,,,,,,,,38.0,4.74,1,1,0,21,
bb_0572274eddda,Kyle,Powers,,,,,,,,,,,,,,,,40.2,5.53,2,3,0,21,
bb_657f51404e0c,Payton,Waters,,,,,,,,,,,,,,,,35.2,7.32,1,6,1,29,
bb_cf6dac5ac59d,Gavin,Dicks,,,,,,,,,,,,,,,,33.1,8.1,1,2,0,33,
bb_a6161c457341,Logan,Hartman,,,,,,,,,,,,,,,,12.1,8.76,0,0,0,11,
bb_cbbdfae346b7,Brodie,Scott,,,,,,,,,,,,,,,,10.0,13.5,0,1,0,12,
bb_4ddb5d82db40,Josh,Fernald,,,,,,,,,,,,,,,,2.0,18.0,0,0,0,2,
bb_399c4d025ca4,Nash,Rippen,59,59,212,54,68,16,0,18,57,138,53,66,2,2,0.321,,,,,,,
bb_d765255dede1,Will,Millard,52,52,200,47,63,13,1,10,39,108,32,28,0,1,0.315,,,,,,,
bb_bc53c8b3bec0,Wes,Walker,56,52,211,38,64,12,1,15,58,123,24,41,0,0,0.303,,,,,,,
bb_5d8f90c006b1,Jackson,Westmoreland,54,50,210,46,62,8,0,0,24,70,30,35,4,4,0.295,,,,,,,
bb_fae69d2f875b,Dylan,Coleman,59,59,250,54,73,10,3,16,55,137,26,61,0,0,0.292,,,,,,,
bb_0fd17724b4ae,Petey,Craska,57,55,209,49,58,12,1,12,48,108,38,40,0,0,0.278,,,,,,,
bb_1fb513e4cbbe,Justin,Santoyo,58,56,201,34,49,11,1,4,29,74,28,34,0,1,0.244,,,,,,,
bb_bf2ea9c24301,Gio,Lonero,2,0,1,1,1,0,0,0,0,1,1,0,0,0,1.0,,,,,,,
bb_bef6630448d1,Ryan,West,5,0,3,1,1,0,0,0,0,1,0,2,0,0,0.333,,,,,,,
bb_4a1ac46c99d2,Tyler,LePage,37,28,111,16,31,7,0,3,15,47,12,18,1,1,0.279,,,,,,,
bb_2f0b869c4450,Leighton,Jenkins,33,33,119,16,31,7,2,2,15,48,3,26,0,0,0.261,,,,,,,
bb_eda6958dee34,Cayden,Sheffield,33,29,105,13,25,5,0,2,17,36,15,24,1,1,0.238,,,,,,,
bb_44901991c304,Bryant,Loving,44,37,123,20,28,6,0,2,19,40,15,34,1,3,0.228,,,,,,,
bb_39c180799327,Tait,Nunnally,7,7,23,3,3,1,0,0,4,4,4,6,0,1,0.13,,,,,,,
bb_65eb299d8e9a,Alex,Wade,24,5,17,3,2,1,0,1,2,6,2,10,0,0,0.118,0.1,0.0,0,0,0,0,
bb_062c6b764e42,Ryker,Billingsley,6,3,10,2,1,0,0,0,0,1,1,4,0,0,0.1,,,,,,,
