athlete_id,first_name,last_name,gp,gs,goals,assists,points,shots,sog,gwg,gb,to,ct,dc,fow,fo_att,minutes,gk_ga,gk_gaa,gk_saves,gk_sv_pct
lax_36f844721899,Matt,Webb,16,0,20,8,28,86,47,1,7,19,0,,0,1,,,,,
lax_962a0ebe1480,Brady,Soldo,16,1,16,10,26,84,45,0,9,22,5,,0,0,,,,,
lax_40d53be25f86,Rory,Scanlon,13,0,11,4,15,47,31,1,6,18,1,,0,0,,,,,
lax_1acd699302f3,Charlie,Vath,15,0,10,3,13,28,17,1,6,15,1,,0,0,,,,,
lax_b8029f5e1e8f,Dominic,Savastano,16,15,5,6,11,14,8,1,79,5,4,,168,364,,,,,
lax_aecd4f493ee4,Nick,Savastano,16,0,9,1,10,21,12,0,8,7,5,,0,0,,,,,
lax_0dc696b3f164,Sal,Posillico,16,1,6,3,9,14,10,1,37,7,5,,0,0,,,,,
lax_b658171f648e,Michael,Kuziak,12,0,5,3,8,17,10,0,4,9,1,,0,0,,,,,
lax_6e0a857984a7,Tate,Anderson,11,1,7,0,7,12,10,1,6,2,2,,0,0,,,,,
lax_e002f20b8473,Patrick,McGowan,13,0,5,1,6,26,13,0,8,12,0,,0,0,,,,,
lax_8c9e65ec5e52,Owen,Dawson,16,1,4,1,5,9,7,0,22,5,11,,0,0,,,,,
lax_adca4bbf752a,Reece,Whitney,16,16,2,3,5,6,4,1,60,15,26,,0,0,,,,,
lax_dc2607d20c59,Anders,Norman,16,14,0,4,4,6,0,0,34,9,13,,0,0,,,,,
lax_6153e8bab597,Carter,Shaw,12,0,2,1,3,6,2,0,3,9,0,,0,0,,,,,
lax_3b334aba4d96,Chuck,Weitzel,16,14,2,0,2,8,6,0,30,14,16,,0,0,,,,,
lax_fa236222178f,Jack,Shay,9,0,1,1,2,11,2,0,2,5,1,,0,0,,,,,
lax_d1ad708a1abb,Angus,Oliveira,16,16,1,0,1,8,3,0,49,3,26,,0,0,,,,,
lax_93f9e93460d1,Gabe,Carrero,9,0,0,1,1,0,0,0,1,0,0,,0,0,,,,,
