athlete_id,first_name,last_name,gp,goals,assists,points,plus_minus,minutes,goalie_ga,goalie_gaa,goalie_saves,goalie_sv_pct
ih_d4e7d8f3eeb1,Josh,Eernisse,38,11,8,19,17,11,,,,
ih_640db1329ab7,Dakoda,Rhéaume-Mullen,40,4,14,18,11,5,,,,
ih_e1f9bdf66e6a,Nick,Moldenhauer,40,15,16,31,28,3,,,,
ih_9cd0f2ae925b,Drew,Schock,38,1,9,10,7,1,,,,
ih_15f8adac85ab,Cole,McKinney,40,8,12,20,2,9,,,,
ih_7ade5814e806,T.J.,Hughes,40,22,35,57,14,6,,,,
ih_4c4d01f0b06e,Aidan,Park,40,8,8,16,11,9,,,,
ih_7430f169386e,Garrett,Schifsky,40,14,13,27,23,13,,,,
ih_5135290be242,Jayden,Perron,40,18,23,41,15,4,,,,
ih_65a81c970537,Michael,Hage,39,13,39,52,15,7,,,,
ih_2243ab99a8fc,Ben,Robertson,40,1,21,22,22,3,,,,
ih_ca401e186b0f,Kason,Muscutt,17,3,0,3,-1,5,,,,
ih_d13cf252e06c,Malcolm,Spence,40,10,15,25,18,17,,,,
ih_0975caa0762f,Kienan,Draper,40,5,13,18,21,12,,,,
ih_ae65c1a9d1eb,Will,Horcoff,40,25,14,39,10,22,,,,
ih_6003a42c706c,Luca,Fantilli,40,4,13,17,29,7,,,,
ih_d4cb6a14703e,Henry,Mews,10,0,9,9,5,3,,,,
ih_40c81a2c7058,Adam,Valentini,40,11,16,27,2,13,,,,
ih_ee4f7ead3c9c,Matthew,Mania,15,1,0,1,3,4,,,,
ih_f652377d80fa,Tate,Pritchard,31,4,6,10,-11,9,,,,
ih_63dd485e32f6,John,Whipple,36,1,1,2,-1,7,,,,
ih_cc6f0a2e6f10,Jacob,Rombach,36,1,3,4,0,6,,,,
ih_f2aa1f8bdf52,Beckett,Hendrickson,36,7,13,20,5,9,,,,
ih_a995eb9a5fa9,August,Falloon,20,0,1,1,-11,5,,,,
ih_ab7e7015d059,Tanner,Ludtke,31,6,8,14,-12,11,,,,
ih_d9f120f57747,Max,Rud,23,1,1,2,0,0,,,,
ih_c6e1a952dfb9,Brody,Lamb,35,14,16,30,-6,6,,,,
ih_680b32142c75,LJ,Mooney,34,7,23,30,-10,10,,,,
ih_93eacb921797,John,Mittelstadt,36,1,3,4,-9,2,,,,
ih_b7b795fc5e61,Luke,Mittelstadt,36,2,19,21,-10,10,,,,
ih_7d1533b0fe5a,Cal,Thomas,31,1,4,5,-10,5,,,,
ih_f2f2701b07d9,Jimmy,Clark,36,4,12,16,-7,1,,,,
ih_9959f49bc4b2,Finn,McLaughlin,31,0,1,1,-13,3,,,,
ih_6be50fc8be78,Javon,Moore,36,8,13,21,-6,2,,,,
ih_c9af8fc2da9b,Axel,Begley,26,1,0,1,-1,0,,,,
